"placeName","kakaoPlaceId","isIndoor","walkHard","isNa","primaryType","primaryTypeName","collectionTypes","skinTreatmentConfidence","skinTreatmentSignals","categoryName","categoryGroupCode","categoryGroupName","phone","addressName","roadAddressName","mapX","mapY","placeUrl"
"2448아트스페이스","1188191076",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-554-6106","서울 강남구 도곡동 454-8","서울 강남구 논현로24길 48","127.0466287132","37.4829885772","http://place.map.kakao.com/1188191076"
"313 아트 프로젝트 청담 스페이스","12121278",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","02-3446-3137","서울 강남구 청담동 82","서울 강남구 압구정로60길 11","127.0422199955","37.5265439317","http://place.map.kakao.com/12121278"
"4233마음센터 압구정점","630855399",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","","서울 강남구 신사동 644-6","서울 강남구 언주로170길 22","127.0354096201","37.52660924","http://place.map.kakao.com/630855399"
"CGV 강남","10811159",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 영화,영상 > 영화관 > CGV","CT1","문화시설","1544-1122","서울 강남구 역삼동 814-6","서울 강남구 강남대로 438","127.0263911771","37.5016573945","http://place.map.kakao.com/10811159"
"CGV 압구정","2017438478",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 영화,영상 > 영화관 > CGV","CT1","문화시설","1544-1122","서울 강남구 신사동 602","서울 강남구 압구정로30길 45","127.0294015422","37.524349373","http://place.map.kakao.com/2017438478"
"CGV 청담씨네시티","14718298",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 영화,영상 > 영화관 > CGV","CT1","문화시설","1544-1122","서울 강남구 신사동 651-21","서울 강남구 도산대로 323","127.0370323551","37.5229506731","http://place.map.kakao.com/14718298"
"CGV씨네드쉐프 압구정","7973004",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 영화,영상 > 영화관 > CGV","CT1","문화시설","02-3446-0541","서울 강남구 신사동 602","서울 강남구 압구정로30길 45","127.0292748294","37.5243205724","http://place.map.kakao.com/7973004"
"CHRISS&CO 갤러리","1224225266",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","","서울 강남구 신사동 624-17","서울 강남구 언주로165길 7-6","127.0322641242","37.5254757796","http://place.map.kakao.com/1224225266"
"GS아트센터","312975024",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","02-2005-0101","서울 강남구 역삼동 679","서울 강남구 논현로 508","127.0375355461","37.5022003886","http://place.map.kakao.com/312975024"
"G갤러리","2002497159",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-790-4921","서울 강남구 청담동 62-35","서울 강남구 삼성로 748","127.0489052309","37.5219624587","http://place.map.kakao.com/2002497159"
"KT&G 상상마당 대치아트홀","8476401",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","02-3404-4311","서울 강남구 대치동 1002","서울 강남구 영동대로 416","127.0651500157","37.5067600874","http://place.map.kakao.com/8476401"
"K현대미술관","154429973",1,3,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-2138-0952","서울 강남구 신사동 666-7","서울 강남구 선릉로 807","127.0391332376","37.5243498832","http://place.map.kakao.com/154429973"
"PS로이","700972237",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-514-9404","서울 강남구 신사동 648-23","서울 강남구 압구정로46길 71-1","127.036819118","37.5241058249","http://place.map.kakao.com/700972237"
"강남문화원","8674873",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 문화원","CT1","문화시설","02-3454-1519","서울 강남구 논현동 40-5","서울 강남구 논현로131길 40","127.0271058028","37.5138469282","http://place.map.kakao.com/8674873"
"강남씨어터","26562481",1,1,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 공연장,연극극장","CT1","문화시설","","서울 강남구 역삼동 829-20","서울 강남구 역삼로7길 16","127.0332338526","37.4953612375","http://place.map.kakao.com/26562481"
"개오망크리에이티브스튜디오","2041523416",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","","서울 강남구 신사동 526-10","서울 강남구 압구정로2길 11","127.0197272109","37.5209464961","http://place.map.kakao.com/2041523416"
"갤러리 X2","215080749",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-6207-5930","서울 강남구 논현동 125-7","서울 강남구 학동로 146","127.0269266175","37.5125369092","http://place.map.kakao.com/215080749"
"갤러리 오 스퀘어","2121601213",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-511-5552","서울 강남구 도곡동 425","서울 강남구 논현로 136","127.0432350304","37.4818897361","http://place.map.kakao.com/2121601213"
"갤러리1707","919199057",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","","서울 강남구 신사동 583-3","서울 강남구 논현로 841","127.0277441323","37.5240560472","http://place.map.kakao.com/919199057"
"갤러리9.5서울","310484607",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-542-2395","서울 강남구 신사동 561-19","서울 강남구 도산대로 153","127.0252253335","37.5188668358","http://place.map.kakao.com/310484607"
"갤러리PAL","1701198400",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 전시관","CT1","문화시설","","서울 강남구 신사동 600-8","서울 강남구 논현로164길 21","127.0299894313","37.5234302027","http://place.map.kakao.com/1701198400"
"갤러리그라프","780187968",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","02-566-0308","서울 강남구 청담동 6-2","서울 강남구 삼성로149길 10","127.0467093324","37.5234788339","http://place.map.kakao.com/780187968"
"갤러리디아르테","378363156",1,2,0,"cultural_facility","문화시설","cultural_facility","","","문화,예술 > 문화시설 > 미술관","CT1","문화시설","","서울 강남구 청담동 70-16","서울 강남구 영동대로131길 14","127.055134997","37.5205559526","http://place.map.kakao.com/378363156"
