placeName,kakaoPlaceId,primaryType,primaryTypeName,collectionTypes,skinTreatmentConfidence,skinTreatmentSignals,categoryName,categoryGroupCode,categoryGroupName,phone,addressName,roadAddressName,mapX,mapY,placeUrl
10년전당신의오늘의원,132554524,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,medium,리프팅,"의료,건강 > 병원 > 성형외과",HP8,병원,02-541-0333,서울 강남구 청담동 5-12,서울 강남구 도산대로 452,127.0457331559,37.5236305844,http://place.map.kakao.com/132554524
111의원,27474806,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|울쎄라|피부레이저|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-540-8111,서울 강남구 신사동 513-3,서울 강남구 도산대로 111,127.0207091229,37.5169251507,http://place.map.kakao.com/27474806
123의원,10763271,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|피부레이저,"의료,건강 > 병원 > 성형외과",HP8,병원,02-567-9123,서울 강남구 대치동 316,서울 강남구 삼성로 212,127.0635919238,37.4952577951,http://place.map.kakao.com/10763271
247클리닉,903374011,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-562-0247,서울 강남구 역삼동 601,서울 강남구 봉은사로 108,127.0255518887,37.5045507081,http://place.map.kakao.com/903374011
4월31일성형외과의원,10833841,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|보톡스|써마지|울쎄라|피부레이저|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-540-6777,서울 강남구 논현동 37-19,서울 강남구 논현로 707,127.0299012545,37.5150779259,http://place.map.kakao.com/10833841
747 의원,1321511453,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,써마지|울쎄라,"의료,건강 > 병원 > 일반의원",HP8,병원,02-546-0747,서울 강남구 논현동 4,서울 강남구 도산대로 122,127.0221366127,37.5168456035,http://place.map.kakao.com/1321511453
815의원,1000329077,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|여드름|울쎄라|피부과|피부레이저|필러,"의료,건강 > 병원 > 피부과",HP8,병원,02-515-8150,서울 강남구 신사동 591-18,서울 강남구 논현로 822,127.0284524564,37.5217853522,http://place.map.kakao.com/1000329077
90일의기적의원,317529626,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|보톡스|써마지|울쎄라|피부과|필러,"의료,건강 > 병원 > 피부과",HP8,병원,0507-1394-7515,서울 강남구 청담동 124-3,서울 강남구 도산대로 509,127.0489556645,37.5247032874,http://place.map.kakao.com/317529626
BLS클리닉 본점,1808645034,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|써마지|피부과,"의료,건강 > 병원 > 피부과",HP8,병원,02-543-4842,서울 강남구 청담동 93-12,서울 강남구 도산대로67길 13-5,127.0439159948,37.5249305194,http://place.map.kakao.com/1808645034
BLS클리닉 압구정점,7990320,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|여드름|피부과|피부레이저,"의료,건강 > 병원 > 피부과",HP8,병원,02-544-4841,서울 강남구 신사동 591,서울 강남구 논현로 824,127.0285974708,37.522059222,http://place.map.kakao.com/7990320
BLS클리닉 청담점,19470020,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|써마지|피부과|피부레이저,"의료,건강 > 병원 > 피부과",HP8,병원,02-512-4842,서울 강남구 청담동 84-7,서울 강남구 선릉로 830,127.0404322504,37.525994946,http://place.map.kakao.com/19470020
BST성형외과의원,1480384529,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,high,리프팅|피부레이저|필러,"의료,건강 > 병원 > 성형외과",HP8,병원,02-542-2050,서울 강남구 삼성동 91-34,서울 강남구 영동대로 616,127.0601985356,37.5152465711,http://place.map.kakao.com/1480384529
BS의원,19236537,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|리프팅|보톡스|써마지|여드름|울쎄라|피부과,"의료,건강 > 병원 > 피부과",HP8,병원,02-517-9977,서울 강남구 신사동 567-26,서울 강남구 논현로159길 14,127.0269960402,37.523140802,http://place.map.kakao.com/19236537
CNP차앤박피부과 도곡양재점,26518825,skin_treatment_hospital,피부시술병원,skin_treatment_hospital|hospital,confirmed,kakao_category:피부과|보톡스|써마지|여드름|제모|피부과,"의료,건강 > 병원 > 피부과 > CNP차앤박피부과",HP8,병원,02-3463-1140,서울 강남구 도곡동 952-10,서울 강남구 강남대로 248,127.0339159019,37.485713956,http://place.map.kakao.com/26518825
